Kod,Unvan,City,BagimsizDenetim,Url,centerAddress,electronicEmailAddress,internet,companyTime,bagimsizDenetimKurulusu,dahilOlduguEndeksler,Sektor,islemGorduguPazarlar
DOGUB,DOĞUSAN BORU SANAYİ VE TİCARET A.Ş.,ERZİNCAN,REPORT BAĞIMSIZ DENETİM A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/921-dogusan-boru-sanayi-ve-ticaret-a-s,YALNIZBAĞ MAHALLESİ SİVAS CADDESİ NO:21 / A MERKEZ ERZİNCAN,info@seraper.com.tr,www.seraper.com.tr,Yok,REPORT BAĞIMSIZ DENETİM A.Ş.,"BIST 500 / BIST TAŞ, TOPRAK / BIST SINAİ / BIST ANA / BIST KATILIM TUM / BIST KOBI SANAYİ / BIST TÜM-100 / BIST TÜM",İMALAT / TAŞ VE TOPRAĞA DAYALI,ANA PAZAR
DGGYO,DOĞUŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/960-dogus-gayrimenkul-yatirim-ortakligi-a-s,"Maslak Mahallesi, Ahi Evran Caddesi No:4/7 Doğuş Center Maslak, 34398 Maslak-Sarıyer/İstanbul",info@dogusgyo.com.tr,www.dogusgyo.com.tr,Süresiz,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş,BIST TÜM-100 / BIST TÜM / BIST KURUMSAL YÖNETİM / BIST MALİ / BIST GAYRİMENKUL YAT. ORT. / BIST KATILIM TUM,MALİ KURULUŞLAR / GAYRİMENKUL YATIRIM ORTAKLIKLARI,ALT PAZAR
DOAS,DOĞUŞ OTOMOTİV SERVİS VE TİCARET A.Ş.,İSTANBUL,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/1391-dogus-otomotiv-servis-ve-ticaret-a-s,"Maslak Mahallesi, Ahi Evran Caddesi (Doğuş Center Maslak), No:4, İç Kapı No:3, 34485 Sarıyer/İstanbul",yatirimciiliskileri@dogusotomotiv.com.tr,www.dogusotomotiv.com.tr,Süresiz,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş,BIST SÜRDÜRÜLEBİLİRLİK KATILIM / BIST 100 / BIST 30 / BIST TİCARET / BIST TEMETTÜ 25 / BIST KATILIM TUM / BIST YILDIZ / BIST TEMETTÜ / BIST TÜM / BIST SÜRDÜRÜLEBİLİRLİK 25 / BIST KURUMSAL YÖNETİM / BIST KATILIM 50 / BIST KATILIM TEMETTU / BIST KATILIM 30 / BIST İSTANBUL / BIST 50 / BIST KATILIM 100 / BIST SÜRDÜRÜLEBİLİRLİK / BIST HİZMETLER / BIST 500,TOPTAN VE PERAKENDE TİCARET / TOPTAN TİCARET,YILDIZ PAZAR
DFKTR,DORUK FAKTORİNG A.Ş.,İSTANBUL,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/3021-doruk-faktoring-a-s,Kuştepe Mh. Mecidiyeköy Yolu Cd. N.12 Trump Towers Kule 2 Kat 24 34387 Mecidiyeköy Şişli İstanbul,dorukfaktoring@dorukfaktoring.com.tr --- tcort@dorukfaktoring.com.tr --- utku.gurgur@dorukfaktoring.com.tr,,Süresiz,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.,,,KESİN ALIM SATIM PAZARI-(NİTELİKLİ YATIRIMCILAR ARASINDA)
DOKTA,DÖKTAŞ DÖKÜMCÜLÜK TİCARET VE SANAYİ A.Ş.,BURSA,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/922-doktas-dokumculuk-ticaret-ve-sanayi-a-s,Fatih mah.Gölyolu Üzeri No:26 16801 Orhangazi Bursa,doktas@doktas.com,www.doktas.com,Sınırsız,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş,BIST 500 / BIST METAL ANA / BIST TÜM-100 / BIST BURSA / BIST TÜM / BIST ANA / BIST SINAİ,İMALAT / ANA METAL SANAYİ,ANA PAZAR
DURDO,DURAN DOĞAN BASIM VE AMBALAJ SANAYİ A.Ş.,İSTANBUL,GÜRELİ YEMİNLİ MALİ MÜŞAVİRLİK VE BAĞIMSIZ DENETİM HİZMETLERİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/923-duran-dogan-basim-ve-ambalaj-sanayi-a-s,Hadımköy Mah.Mustafa İnan.Cd.No.41 Arnavutköy/İstanbul,info@durandogan.com,www.durandogan.com,süresiz,GÜRELİ YEMİNLİ MALİ MÜŞAVİRLİK VE BAĞIMSIZ DENETİM HİZMETLERİ A.Ş.,"BIST ORMAN, KAĞIT, BASIM / BIST 500 / BIST SINAİ / BIST TÜM-100 / BIST İSTANBUL / BIST ANA / BIST TÜM",İMALAT / KAĞIT VE KAĞIT ÜRÜNLERİ BASIM,ANA PAZAR
DNYVA,DÜNYA VARLIK YÖNETİM A.Ş.,İSTANBUL,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/4902-dunya-varlik-yonetim-a-s,Esentepe Mah. Büyükdere Cad. Astoria Blok No:127 İç Kapı No.3 Şişli/İstanbul,invest@dunyavarlik.com,invest.dunyavarlik.com,Süresiz,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.,,,KESİN ALIM SATIM PAZARI-(NİTELİKLİ YATIRIMCILAR ARASINDA)
DYOBY,DYO BOYA FABRİKALARI SANAYİ VE TİCARET A.Ş.,İZMİR,KPMG BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/924-dyo-boya-fabrikalari-sanayi-ve-ticaret-a-s,AOSB MAHALLESİ 10003 SOK. NO:2/8 ÇİĞLİ/İZMİR,info@dyo.com.tr,www.dyo.com.tr,SÜRESİZ,KPMG BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.,"BIST KOCAELİ / BIST ANA / BIST KİMYA, PETROL, PLASTİK / BIST SINAİ / BIST TÜM-100 / BIST 500 / BIST TÜM / BIST KATILIM TUM",İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER,KESİN ALIM SATIM PAZARI-(NİTELİKLİ YATIRIMCILAR ARASINDA) / ANA PAZAR
EDATA,E-DATA TEKNOLOJİ PAZARLAMA A.Ş.,ANKARA,DENGE ANKARA BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/5333-e-data-teknoloji-pazarlama-a-s,Fatih Sultan Mah.2720 Sokak HL Ofis Blok No:4A İç Kapı No:49 Etimesgut / ANKARA,info@e-data.com.tr,www.e-data.com.tr,Süresiz,DENGE ANKARA BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.,BIST ANKARA / BIST 500 / BIST TÜM-100 / BIST BİLİŞİM / BIST TÜM / BIST TEKNOLOJİ / BIST ANA,TEKNOLOJİ / BİLİŞİM,ANA PAZAR
EBEBK,EBEBEK MAĞAZACILIK A.Ş.,İSTANBUL,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/5861-ebebek-magazacilik-a-s,İçerenköy Mh. Değirmen Yolu Cd.No:37 D:6 Ataşehir / İstanbul,yatirimciiliskileri@ebebek.com,https://www.ebebek.com/,Süresizdir.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş,BIST HİZMETLER / BIST TÜM-100 / BIST TİCARET / BIST TÜM / BIST YILDIZ / BIST KATILIM TUM / BIST KATILIM 100 / BIST 500 / BIST HALKA ARZ,TOPTAN VE PERAKENDE TİCARET / PERAKENDE TİCARET,YILDIZ PAZAR
ECZYT,ECZACIBAŞI YATIRIM HOLDİNG ORTAKLIĞI A.Ş.,İSTANBUL,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/926-eczacibasi-yatirim-holding-ortakligi-a-s,Kanyon Ofis Büyükdere Cad.185 34394 Levent İstanbul,eyh@eczacibasi.com.tr,"www.eyh.eczacibasi.com.tr, www.eczacibasi.com.tr",Süresiz.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş,BIST MALİ / BIST HOLDİNG VE YATIRIM / BIST 100 / BIST YILDIZ / BIST TEMETTÜ / BIST İSTANBUL / BIST TÜM / BIST 100-30 / BIST 500,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ,YILDIZ PAZAR
EDIP,EDİP GAYRİMENKUL YATIRIM SANAYİ VE TİCARET A.Ş.,İSTANBUL,MGI BAĞIMSIZ DENETİM A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/928-edip-gayrimenkul-yatirim-sanayi-ve-ticaret-a-s,MAHMUTBEY MERKEZ MH. TAŞOCAĞI CD. NO:5 BAĞCILAR İSTANBUL,yatirimci@edip.com,www.edip.com,Süresiz,MGI BAĞIMSIZ DENETİM A.Ş.,BIST TÜM-100 / BIST ANA / BIST 500 / BIST TÜM / BIST HİZMETLER / BIST İNŞAAT / BIST İSTANBUL,İNŞAAT VE BAYINDIRLIK / İNŞAAT VE BAYINDIRLIK İŞLERİ,ANA PAZAR
EFORC,EFOR ÇAY SANAYİ TİCARET A.Ş.,İSTANBUL,DENEYİM BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/5654-efor-cay-sanayi-ticaret-a-s,Fatih Sultan Mehmet Mah. Aheste Sk. No: 7/8 Ümraniye İstanbul,yatirimciiliskileri@eforcay.com,https://www.eforcay.com,SÜRESİZ,DENEYİM BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.,"BIST GIDA, İÇECEK / BIST TÜM-100 / BIST KATILIM TUM / BIST HALKA ARZ / BIST SINAİ / BIST YILDIZ / BIST TÜM","İMALAT / GIDA, İÇECEK VE TÜTÜN",YILDIZ PAZAR
EGEEN,EGE ENDÜSTRİ VE TİCARET A.Ş.,İZMİR,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/930-ege-endustri-ve-ticaret-a-s,KEMALPAŞA CADDESİ NO:280 35060  PINARBAŞI-İZMİR,yatirimciiliskileri@egeendustri.com.tr,www.egeendustri.com.tr,SÜRESİZ,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş,"BIST SINAİ / BIST METAL EŞYA, MAKİNA / BIST 100-30 / BIST 500 / BIST İZMİR / BIST TEMETTÜ / BIST 100 / BIST TÜM / BIST YILDIZ / BIST 50",İMALAT / METAL EŞYA MAKİNE ELEKTRİKLİ CİHAZLAR VE ULAŞIM ARAÇLARI,YILDIZ PAZAR
EGGUB,EGE GÜBRE SANAYİİ A.Ş.,İZMİR,ANIL YEMİNLİ MALİ MÜŞAVİRLİK VE BAĞIMSIZ DENETİM A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/931-ege-gubre-sanayii-a-s,EGE PERLA B KULE OZAN ABAY CAD. NO:10 K:8 D:81 KONAK - İZMİR,info@egegubre.com.tr,www.egegubre.com.tr,SÜRESİZ,ANIL YEMİNLİ MALİ MÜŞAVİRLİK VE BAĞIMSIZ DENETİM A.Ş.,"BIST KİMYA, PETROL, PLASTİK / BIST KATILIM TEMETTU / BIST İZMİR / BIST TEMETTÜ / BIST TÜM-100 / BIST KATILIM TUM / BIST 500 / BIST TÜM / BIST SINAİ / BIST YILDIZ",İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER,YILDIZ PAZAR
EGPRO,EGE PROFİL TİCARET VE SANAYİ A.Ş.,İZMİR,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/932-ege-profil-ticaret-ve-sanayi-a-s,ATATÜRK PLASTİK OSB MH. 5 CD. NO:4 35660 MENEMEN / İZMİR,egeprofil@deceuninck.com,www.egeprofil.com.tr,,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş,"BIST KİMYA, PETROL, PLASTİK / BIST KATILIM TEMETTU / BIST İZMİR / BIST TÜM / BIST 500 / BIST KATILIM TUM / BIST TÜM-100 / BIST YILDIZ / BIST TEMETTÜ / BIST SINAİ",İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER,YILDIZ PAZAR
EGSER,EGE SERAMİK SANAYİ VE TİCARET A.Ş.,İZMİR,AS BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/933-ege-seramik-sanayi-ve-ticaret-a-s,KEMALPAŞA OSB MAHALLESİ ANSIZCA SANAYİ SİTESİ SK. NO:297/1 35730 KEMALPAŞA/İZMİR,info@egeseramik.com --- egeseramik@hs01.kep.tr,www.egeseramik.com,Şirketin süresi kesin kuruluşundan başlamak üzere 99 yıldır.,AS BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.,"BIST İZMİR / BIST TAŞ, TOPRAK / BIST 500 / BIST ANA / BIST TÜM / BIST TÜM-100 / BIST SINAİ",İMALAT / TAŞ VE TOPRAĞA DAYALI,ANA PAZAR
EPLAS,EGEPLAST EGE PLASTİK TİCARET VE SANAYİ A.Ş.,İZMİR,EREN BAĞIMSIZ DENETİM A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/934-egeplast-ege-plastik-ticaret-ve-sanayi-a-s,10003 SOKAK NO: 6 A.O.S.B. ÇİĞLİ - İZMİR,info@egeplast.com.tr,www.egeplast.com,SÜRESİZDİR.,EREN BAĞIMSIZ DENETİM A.Ş.,"BIST TÜM / BIST SINAİ / BIST TÜM-100 / BIST ANA / BIST 500 / BIST KİMYA, PETROL, PLASTİK / BIST İZMİR",İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER,ANA PAZAR
ECILC,EİS ECZACIBAŞI İLAÇ SINAİ VE FİNANSAL YATIRIMLAR SANAYİ VE TİCARET A.Ş.,İSTANBUL,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/939-eis-eczacibasi-ilac-sinai-ve-finansal-yatirimlar-sanayi-ve-ticaret-a-s,"Büyükdere Cad. Ali Kaya Sok. No:5 34394 Levent, İstanbul",eis@eczacibasi.com.tr,www.eis.com.tr / www.eczacibasi.com.tr,Süresiz,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş,BIST 100-30 / BIST TEMETTÜ 25 / BIST HOLDİNG VE YATIRIM / BIST YILDIZ / BIST 100 / BIST MALİ / BIST TEMETTÜ / BIST 500 / BIST İSTANBUL / BIST TÜM,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ,YILDIZ PAZAR
EKER,EKER SÜT ÜRÜNLERİ GIDA SANAYİ VE TİCARET A.Ş.,BURSA,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/5933-eker-sut-urunleri-gida-sanayi-ve-ticaret-a-s,Odunluk Mah. Erdoğan Binyücel Cad. No:13/A 16063 Nilüfer / BURSA,serefsezer@eker.com --- ipektuna@eker.com --- info@eker.com,www.eker.com,Süresiz,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş,,,KESİN ALIM SATIM PAZARI-(NİTELİKLİ YATIRIMCILAR ARASINDA)
EKIZ,EKİZ KİMYA SANAYİ VE TİCARET A.Ş.,İZMİR,HLB SAYGIN BAĞIMSIZ DENETİM A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/1515-ekiz-kimya-sanayi-ve-ticaret-a-s,İsmet Kaptan Mah. Şehit Nevres Blv. Deren Plaza No:10/11 Konak / İZMİR,yatirimci@ekizkimya.com --- ekiz@ekizkimya.com,www.ekizkimya.com,Süresiz,HLB SAYGIN BAĞIMSIZ DENETİM A.Ş.,,"İMALAT / GIDA, İÇECEK VE TÜTÜN",YAKIN İZLEME PAZARI
EKOFA,EKO FAKTORİNG A.Ş.,İSTANBUL,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/2109-eko-faktoring-a-s,Maslak Mahallesi Meydan Sokak Veko Giz Plaza No:3 Maslak-Sarıyer/İSTANBUL,yatirimci@ekofactoring.com,www.ekofactoring.com,Süresiz,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş,,,KESİN ALIM SATIM PAZARI-(NİTELİKLİ YATIRIMCILAR ARASINDA)
EKOS,EKOS TEKNOLOJİ VE ELEKTRİK A.Ş.,BALIKESİR,VİZYON GRUP BAĞIMSIZ DENETİM.A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/5898-ekos-teknoloji-ve-elektrik-a-s,Gaziosmanpaşaosb Mah. 7. Cadde Ekosinerji Blok No:17-19/A Altıeylül/Balıkesir,info@ekoselectric.com --- yatirimciiliskileri@ekoselectric.com,www.ekoselectric.com,süresiz,VİZYON GRUP BAĞIMSIZ DENETİM.A.Ş.,"BIST 500 / BIST SINAİ / BIST BALIKESİR / BIST KATILIM 100 / BIST HALKA ARZ / BIST METAL EŞYA, MAKİNA / BIST KATILIM TUM / BIST TÜM-100 / BIST TÜM / BIST YILDIZ",İMALAT / METAL EŞYA MAKİNE ELEKTRİKLİ CİHAZLAR VE ULAŞIM ARAÇLARI,YILDIZ PAZAR
EKOVR,EKOVAR ÇEVRE GRUP GERİ DÖNÜŞÜM ATIK DEPOLAMA İNŞAAT TAAHHÜT SANAYİ VE TİCARET A.Ş.,ANKARA,BİRLEŞİM NEKS BAĞIMSIZ DENETİM A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/5927-ekovar-cevre-grup-geri-donusum-atik-depolama-insaat-taahhut-sanayi-ve-ticaret-a-s,Mutlukent Mahallesi 1961.Cadde No:60 Çankaya Ankara TÜRKİYE,info@ekovar.com.tr,www.ekovar.com.tr,Süresiz,BİRLEŞİM NEKS BAĞIMSIZ DENETİM A.Ş.,,,GÖZALTI PAZARI
EKSUN,EKSUN GIDA TARIM SANAYİ VE TİCARET A.Ş.,İSTANBUL,VEZİN BAĞIMSIZ DENETİM A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/5796-eksun-gida-tarim-sanayi-ve-ticaret-a-s,Ord. Prof. Fahrettin Kerim Gökay Cad. No:36 Altunizade / İstanbul,yatirimci.iliskileri@eksun.com.tr --- ir@eksun.com.tr,www.eksun.com.tr,Süresiz,VEZİN BAĞIMSIZ DENETİM A.Ş.,"BIST TEKİRDAĞ / BIST TÜM-100 / BIST YILDIZ / BIST 500 / BIST TÜM / BIST KATILIM TUM / BIST HALKA ARZ / BIST GIDA, İÇECEK / BIST SINAİ","İMALAT / GIDA, İÇECEK VE TÜTÜN",YILDIZ PAZAR
ELITE,ELİTE NATUREL ORGANİK GIDA SANAYİ VE TİCARET A.Ş.,ANKARA,BDD BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/5392-elite-naturel-organik-gida-sanayi-ve-ticaret-a-s,Malıköy Başkent OSB Mah. 3 Cad. No: 3 Sincan / Ankara,yatirimci@elitenaturel.com,https://www.elitenaturel.com,Süresiz,BDD BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.,"BIST KATILIM 100 / BIST ANKARA / BIST 500 / BIST TÜM-100 / BIST YILDIZ / BIST SINAİ / BIST KATILIM TUM / BIST GIDA, İÇECEK / BIST TÜM","İMALAT / GIDA, İÇECEK VE TÜTÜN",YILDIZ PAZAR
EMKEL,EMEK ELEKTRİK ENDÜSTRİSİ A.Ş.,ANKARA,KARAR BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/940-emek-elektrik-endustrisi-a-s,SARACALAR MAHALLESİ ÖZAL BULVARI NO:224 06750 AKYURT/ANKARA,emek@emek.com.tr,www.emek.com.tr,SÜRESİZ,KARAR BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.,"BIST YILDIZ / BIST 500 / BIST KOBI SANAYİ / BIST SINAİ / BIST ANKARA / BIST TÜM / BIST METAL EŞYA, MAKİNA / BIST TÜM-100",İMALAT / METAL EŞYA MAKİNE ELEKTRİKLİ CİHAZLAR VE ULAŞIM ARAÇLARI,YILDIZ PAZAR
EMNIS,EMİNİŞ AMBALAJ SANAYİ VE TİCARET A.Ş.,KOCAELİ,ELİT BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/941-eminis-ambalaj-sanayi-ve-ticaret-a-s,Dilovası Organize Sanayi Bölgesi 1. Kısım D-1003 Sok. No:4 41455 Dilovası Kocaeli,yatirimciiliskileri@eminis.com.tr,www.eminis.com.tr,Süresiz,ELİT BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.,,İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER,YAKIN İZLEME PAZARI
EMIRV,EMİR VARLIK YÖNETİM A.Ş.,İSTANBUL,KPMG BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/4915-emir-varlik-yonetim-a-s,Oruçreis Mah. Tekstilkent Cad. 12/B Koza Plaza A Blok No:232 Esenler İstanbul,info@emirvarlik.com,www.emirvarlik.com,SÜRESİZ,KPMG BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.,,,KESİN ALIM SATIM PAZARI-(NİTELİKLİ YATIRIMCILAR ARASINDA)
EKTVK,EMLAK KATILIM VARLIK KİRALAMA A.Ş.,İSTANBUL,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/5064-emlak-katilim-varlik-kiralama-a-s,Barbaros Mah. Begonya Sok. No: 9/A Ataşehir / İSTANBUL,info@emlakkatilimvks.com.tr  --- emlakkatilimvarlik@hs02.kep.tr,www.emlakkatilimvks.com.tr,Süresiz,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş,,,KESİN ALIM SATIM PAZARI-(NİTELİKLİ YATIRIMCILAR ARASINDA)
EKGYO,EMLAK KONUT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/1531-emlak-konut-gayrimenkul-yatirim-ortakligi-a-s,Barbaros Mah. Mor Sümbül Sok. No: 7/2 B Ataşehir/İSTANBUL,info@emlakkonut.com.tr,www.emlakkonut.com.tr,ŞİRKETİN HUKUKİ VARLIĞI HER HANGİ BİR SÜREYLE KISITLANMAMIŞTIR.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş,BIST GAYRİMENKUL YAT. ORT. / BIST BANKA DIŞI LİKİT 10 / BIST 30 / BIST 100 / BIST YILDIZ / BIST 500 / BIST MALİ / BIST 50 / BIST TÜM,MALİ KURULUŞLAR / GAYRİMENKUL YATIRIM ORTAKLIKLARI,YILDIZ PAZAR
EMVAR,EMLAK VARLIK KİRALAMA A.Ş.,İSTANBUL,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/4944-emlak-varlik-kiralama-a-s,Barbaros Mah. Begonya Sok. No: 9/A Ataşehir / İSTANBUL,info@emlakvks.com.tr --- emlakvarlikkiralama@hs02.kep.tr,www.emlakvks.com.tr,Süresiz,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş,,,KESİN ALIM SATIM PAZARI-(NİTELİKLİ YATIRIMCILAR ARASINDA)
ENJSA,ENERJİSA ENERJİ A.Ş.,İSTANBUL,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/3494-enerjisa-enerji-a-s,Barbaros Mah. Begonya Sok. Nida Kule Ataşehir Batı Sit. No: 1 / 1 Ataşehir / İstanbul,investorrelations@enerjisa.com,www.enerjisa.com.tr,Süresiz,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.,BIST SÜRDÜRÜLEBİLİRLİK 25 / BIST YILDIZ / BIST SÜRDÜRÜLEBİLİRLİK / BIST HİZMETLER / BIST İSTANBUL / BIST 50 / BIST TEMETTÜ / BIST 100 / BIST TEMETTÜ 25 / BIST KATILIM 50 / BIST KATILIM TUM / BIST KATILIM TEMETTU / BIST KATILIM 100 / BIST SÜRDÜRÜLEBİLİRLİK KATILIM / BIST KURUMSAL YÖNETİM / BIST 100-30 / BIST ELEKTRİK / BIST 500 / BIST KATILIM 30 / BIST TÜM,ELEKTRİK GAZ VE SU / ELEKTRİK GAZ VE BUHAR,YILDIZ PAZAR / KESİN ALIM SATIM PAZARI-(NİTELİKLİ YATIRIMCILAR ARASINDA)
